,Star ID,RA,DE,Magnitude
23788,23788,0.79045925,0.93047522,3.1
23790,23790,0.79310437,0.98630684,5.1
23902,23902,0.83754555,0.99407317,5.9
23913,23913,0.84044134,0.88582359,5.3
23943,23943,0.85109163,0.87337478,5.3
24053,24053,0.89448605,1.0431496,4.4
24060,24060,0.89842271,1.02463631,4.8
24063,24063,0.89960793,0.96483173,5.0
24098,24098,0.91554788,0.95656425,5.8
24168,24168,0.95370674,1.04388783,6.0
24214,24214,0.97565535,0.97334739,6.0
24230,24230,0.98003409,0.8828495,5.9
24275,24275,1.00202124,1.0093002,5.8
24313,24313,1.01612525,0.88230747,5.5
24383,24383,1.04837878,1.03007359,5.1
24411,24411,1.05962604,0.87646237,4.3
24511,24511,1.10307565,0.93354952,5.1
24513,24513,1.10385356,1.00771777,5.8
24530,24530,1.11035251,0.87571381,4.6
24543,24543,1.11873017,0.88665456,5.5
24562,24562,1.12478435,0.984166,5.9
24670,24670,1.16962971,0.93906451,5.9
24671,24671,1.16963051,0.93906447,5.9
24742,24742,1.20412142,0.92471481,5.3
24743,24743,1.20426003,0.93160289,5.4
24828,24828,1.23843787,0.98909317,5.4
24903,24903,1.26953411,0.96305605,5.6
24918,24918,1.2747365,0.92136945,5.8
24928,24928,1.27963135,0.93679627,4.4
25000,25000,1.31678889,1.02808818,5.3
25018,25018,1.32101746,0.89943177,5.0
25160,25160,1.39267174,1.00353581,5.3
25275,25275,1.45071346,0.94942692,6.0
25446,25446,1.52926826,1.04509923,5.3
25449,25449,1.5300149,0.97211228,4.9
25501,25501,1.55076272,0.94742357,3.9
25596,25596,1.59511058,1.02878365,5.4
25664,25664,1.63717331,1.03029811,4.4
25677,25677,1.6476959,1.03666042,6.0
25680,25680,1.64806155,0.9333554,5.4
25730,25730,1.66771236,0.9828699,5.8
25732,25732,1.66875926,1.02009593,5.5
25770,25770,1.68618739,1.01581784,6.0
25841,25841,1.71650144,0.99310001,5.8
25938,25938,1.753282,1.03838315,4.9
25946,25946,1.75653064,0.9987411,5.5
26011,26011,1.78320436,1.03865363,5.4
26050,26050,1.80184346,1.02085724,4.5
26222,26222,1.87403012,0.89908717,5.7
26247,26247,1.88302002,1.04246999,5.3
26259,26259,1.89212504,0.91143532,6.0
26311,26311,1.91460372,0.96652809,5.6
26332,26332,1.92448781,0.90733283,5.9
26422,26422,1.97536947,0.97507124,6.0
26473,26473,2.00183703,1.02677245,5.0
26487,26487,2.00839096,0.8823355,5.3
26534,26534,2.03839135,0.94694613,6.0
26617,26617,2.08202997,1.03297908,5.8
26686,26686,2.11492505,0.9015106,4.9
26700,26700,2.12045534,1.01921551,6.0
26731,26731,2.13743114,0.98792918,5.9
26755,26755,2.15417641,1.04242417,5.5
26783,26783,2.16599709,1.01056455,5.9
26818,26818,2.18180425,0.93170136,5.6
26934,26934,2.24557393,0.93509995,5.7
26945,26945,2.24972861,0.92307958,6.0
27104,27104,2.35774762,0.95089896,5.7
27135,27135,2.37956125,0.90421761,4.5
27184,27184,2.40917054,0.99396768,5.5
27190,27190,2.4111888,0.94648813,4.9
27218,27218,2.43501982,0.99331037,6.0
27288,27288,2.48502081,0.90593826,3.3
27297,27297,2.49324968,0.91237188,4.6
27376,27376,2.54382794,1.0011005,5.4
27400,27400,2.5632416,1.03454542,3.9
27407,27407,2.56876411,0.94769725,4.5
27429,27429,2.58510818,0.87365878,5.3
27437,27437,2.59075061,1.00630943,6.0
27463,27463,2.60243813,0.99574646,5.7
27502,27502,2.6236478,0.94482686,5.7
27669,27669,2.73772682,0.98153269,4.8
27694,27694,2.75742751,1.00078702,5.2
27723,27723,2.77509155,0.94125418,5.7
27747,27747,2.79505594,1.00290696,5.8
27790,27790,2.82793911,0.99217556,5.8
27792,27792,2.82860066,1.03997315,5.7
27814,27814,2.83859522,0.95733782,5.4
27875,27875,2.87472099,0.98874415,2.4
